year,pwsid,pwsname,eparegion,pwstype,populationservedcount,iswholesaler,primarysourcedummy,ownertypedummy,size_dummy,source_gw_sw,source_purchased,owner_dummy,married,single,divorced_widowed_separated,less_than_hs,hs_more,college_more,average_household_size,median_household_income,per_capita_income,median_year_structure_built,owner_occupied_housing_units,total_pop,median_age,population_over_15,population_over_18,population_over_25,pop_density,unemployment,housing_density
2015,FL1170525,EMERALD COAST UTILITIES AUTHORITY,Region 4,Community water system,249872,N,0,2,1,0,0,0,0.388722975334003,0.359180217762829,0.252096806903168,0.100975965419137,0.899024034580863,0.615298195654659,2.71,43117.0725960768,22938.0006315502,1981.75,0.587042535202427,313819,36.6,0.826421147541475,0.794955651455727,0.660044357235942,478.04655,0.11348950105017,212.248653502742
2013,FL1170703,UNIVERSITY OF WEST FLORIDA,Region 4,Community water system,12000,N,0,6,1,0,0,0,0.407575267460339,0.350280143024205,0.242144589515456,0.110018936314265,0.889981063685735,0.60252457912428,2.59,44329.8742341748,23674.3362416513,1981.25,0.611755106971178,307339,37,0.824501061108625,0.790750401077758,0.657988384255448,468.17545,0.110560855915611,210.646121555627
2014,FL1170703,UNIVERSITY OF WEST FLORIDA,Region 4,Community water system,12000,N,0,6,1,0,0,0,0.398149121397171,0.354730180393517,0.247120698209312,0.105497450866701,0.894502549133299,0.608911387389469,2.65,43723.4734151258,23306.1684366008,1981.5,0.599398821086803,310579,36.8,0.82546110432505,0.792853026266742,0.659016370745695,473.111,0.11202517848289,211.447387529185
2015,FL1170703,UNIVERSITY OF WEST FLORIDA,Region 4,Community water system,12000,N,0,6,1,0,0,0,0.388722975334003,0.359180217762829,0.252096806903168,0.100975965419137,0.899024034580863,0.615298195654659,2.71,43117.0725960768,22938.0006315502,1981.75,0.587042535202427,313819,36.6,0.826421147541475,0.794955651455727,0.660044357235942,478.04655,0.11348950105017,212.248653502742
2013,FL1170814,NAS PENSACOLA / CORRY STATION,Region 4,Community water system,22600,N,0,1,1,0,0,0,0.407575267460339,0.350280143024205,0.242144589515456,0.110018936314265,0.889981063685735,0.60252457912428,2.59,44329.8742341748,23674.3362416513,1981.25,0.611755106971178,307339,37,0.824501061108625,0.790750401077758,0.657988384255448,468.17545,0.110560855915611,210.646121555627
2014,FL1170814,NAS PENSACOLA / CORRY STATION,Region 4,Community water system,22600,N,0,1,1,0,0,0,0.398149121397171,0.354730180393517,0.247120698209312,0.105497450866701,0.894502549133299,0.608911387389469,2.65,43723.4734151258,23306.1684366008,1981.5,0.599398821086803,310579,36.8,0.82546110432505,0.792853026266742,0.659016370745695,473.111,0.11202517848289,211.447387529185
2015,FL1170814,NAS PENSACOLA / CORRY STATION,Region 4,Community water system,22600,N,0,1,1,0,0,0,0.388722975334003,0.359180217762829,0.252096806903168,0.100975965419137,0.899024034580863,0.615298195654659,2.71,43117.0725960768,22938.0006315502,1981.75,0.587042535202427,313819,36.6,0.826421147541475,0.794955651455727,0.660044357235942,478.04655,0.11348950105017,212.248653502742
2013,FL1200797,GADSDEN CO REGIONAL W/S,Region 4,Community water system,12852,N,0,5,1,0,0,1,0.408242739762709,0.362861677398054,0.228895582839237,0.227066962741126,0.772933037258874,0.436578212715646,2.535,35527.4509290157,18092.5099927981,1986.25,0.700637453451798,47103,40.85,0.81028843962342,0.780027473614169,0.69426496273332,91.226235,0.136192818615114,37.682167939815
2013,FL1200275,FLORIDA STATE HOSPITAL,Region 4,Community water system,4500,N,0,6,0,0,0,0,0.408242739762709,0.362861677398054,0.228895582839237,0.227066962741126,0.772933037258874,0.436578212715646,2.535,35527.4509290157,18092.5099927981,1986.25,0.700637453451798,47103,40.85,0.81028843962342,0.780027473614169,0.69426496273332,91.226235,0.136192818615114,37.682167939815
2014,FL1200275,FLORIDA STATE HOSPITAL,Region 4,Community water system,4500,N,0,6,0,0,0,0,0.40713849864785,0.360651546496497,0.232209954855653,0.223808881242707,0.776191118757293,0.449295011628553,2.51,34865.9974159526,18062.5345292228,1987.5,0.689630022881459,47341,41.5,0.813812769570108,0.787218075362339,0.701215298346188,91.68718,0.14124237718949,37.6502117407846
2015,FL1200275,FLORIDA STATE HOSPITAL,Region 4,Community water system,4500,N,0,6,0,0,0,0,0.40603425753299,0.35844141559494,0.23552432687207,0.220550799744287,0.779449200255713,0.462011810541461,2.485,34204.5439028894,18032.5590656475,1988.75,0.678622592311121,47579,42.15,0.817337099516797,0.79440867711051,0.708165633959056,92.148125,0.146291935763867,37.6182555417542
2014,FL1200797,GADSDEN CO REGIONAL W/S,Region 4,Community water system,12852,N,0,5,1,0,0,1,0.40713849864785,0.360651546496497,0.232209954855653,0.223808881242707,0.776191118757293,0.449295011628553,2.51,34865.9974159526,18062.5345292228,1987.5,0.689630022881459,47341,41.5,0.813812769570108,0.787218075362339,0.701215298346188,91.68718,0.14124237718949,37.6502117407846
2015,FL1200797,GADSDEN CO REGIONAL W/S,Region 4,Community water system,12852,N,0,5,1,0,0,1,0.40603425753299,0.35844141559494,0.23552432687207,0.220550799744287,0.779449200255713,0.462011810541461,2.485,34204.5439028894,18032.5590656475,1988.75,0.678622592311121,47579,42.15,0.817337099516797,0.79440867711051,0.708165633959056,92.148125,0.146291935763867,37.6182555417542
2013,FL1204063,HINSON HEIGHTS,Region 4,Community water system,175,N,1,4,0,0,1,1,0.377800969988273,0.465261389048723,0.156837727300865,0.0749671778701496,0.92503282212985,0.733554588939114,2.44,46254.5170850538,26135.1246082122,1986.25,0.524782192041262,283579.5,30.05,0.841304590760892,0.809346950518778,0.575709978364779,425.251,0.118484899392218,188.622061943266
2014,FL1204063,HINSON HEIGHTS,Region 4,Community water system,175,N,1,4,0,0,1,1,0.375084771684897,0.467801285939752,0.156914115051072,0.0710646102265135,0.928935389773487,0.741582803627987,2.47,45833.6973392073,25752.8109645319,1986.5,0.518259321237464,286277,30.2,0.84275472306592,0.811102100922205,0.574480174187422,429.2961,0.125436499600785,189.445333062387
2015,FL1204063,HINSON HEIGHTS,Region 4,Community water system,175,N,1,4,0,0,1,1,0.372368573381522,0.470341182830782,0.15699050280128,0.0671620425828774,0.932837957417123,0.74961101831686,2.5,45412.8775933608,25370.4973208517,1986.75,0.511736450433666,288974.5,30.35,0.844204855370949,0.812857251325631,0.573250370010066,433.3412,0.132388099809353,190.268604181508
2013,FL1370393,BRADFORDVILLE REGIONAL W/S,Region 4,Community water system,10641,N,0,5,1,0,0,1,0.377800969988273,0.465261389048723,0.156837727300865,0.0749671778701496,0.92503282212985,0.733554588939114,2.44,46254.5170850538,26135.1246082122,1986.25,0.524782192041262,283579.5,30.05,0.841304590760892,0.809346950518778,0.575709978364779,425.251,0.118484899392218,188.622061943266
2013,FL1230545,"PORT ST. JOE, CITY OF",Region 4,Community water system,12806,N,4,2,1,1,0,0,0.457560982386459,0.327293028836583,0.215063472141418,0.198761736102631,0.801238263897369,0.456059327750263,2.6,40619.6010410067,19428.4269717991,1985.25,0.704201286521861,15740,43.15,0.880936364445864,0.846166095941829,0.741443492596569,27.907195,0.140114942145761,16.2053224838235
2014,FL1230545,"PORT ST. JOE, CITY OF",Region 4,Community water system,12806,N,4,2,1,1,0,0,0.457710540333293,0.335424813999992,0.206699612395634,0.193982899615054,0.806017100384946,0.470563514047027,2.69,40226.5787885558,19422.8135483901,1985.5,0.689762914987598,15699,43.3,0.885502410154005,0.848976257532222,0.734772163572202,27.8345,0.152032753910986,16.2230525953886
2015,FL1230545,"PORT ST. JOE, CITY OF",Region 4,Community water system,12806,N,4,2,1,1,0,0,0.457860098280128,0.343556599163401,0.19833575264985,0.189204063127476,0.810795936872523,0.485067700343792,2.78,39833.5565361048,19417.2001249811,1985.75,0.675324543453336,15658,43.45,0.890068455862147,0.851786419122615,0.728100834547834,27.761805,0.16395056567621,16.2407827069536
2013,FL1300083,"BONIFAY, CITY OF WATER DEPT.",Region 4,Community water system,4030,N,0,2,0,0,0,0,0.487775364385099,0.272425385621947,0.239799249992954,0.23910613459746,0.76089386540254,0.409817151130627,2.725,36586.0068152078,17054.1173721513,1981.25,0.814350630520155,19648,42.5,0.837844556825717,0.799479041462688,0.707400930879093,41.037855,0.132283556734303,17.9415311104086
2014,FL1300083,"BONIFAY, CITY OF WATER DEPT.",Region 4,Community water system,4030,N,0,2,0,0,0,0,0.491430974109362,0.273884596470104,0.234684429420534,0.235031268835078,0.764968731164922,0.428054597331423,2.81,36893.0023604778,17142.1202454516,1981.5,0.826984776873397,19555,42.9,0.841536841730052,0.804266831215737,0.71093680932923,40.84361,0.141373623921811,17.9060240064733
2015,FL1300083,"BONIFAY, CITY OF WATER DEPT.",Region 4,Community water system,4030,N,0,2,0,0,0,0,0.495086583833624,0.275343807318261,0.229569608848115,0.230956403072696,0.769043596927304,0.446292043532219,2.895,37199.9979057478,17230.1231187519,1981.75,0.839618923226639,19462,43.3,0.845229126634387,0.809054620968785,0.714472687779368,40.649365,0.15046369110932,17.8705169025379
2014,FL1370393,BRADFORDVILLE REGIONAL W/S,Region 4,Community water system,10641,N,0,5,1,0,0,1,0.375084771684897,0.467801285939752,0.156914115051072,0.0710646102265135,0.928935389773487,0.741582803627987,2.47,45833.6973392073,25752.8109645319,1986.5,0.518259321237464,286277,30.2,0.84275472306592,0.811102100922205,0.574480174187422,429.2961,0.125436499600785,189.445333062387
2015,FL1370393,BRADFORDVILLE REGIONAL W/S,Region 4,Community water system,10641,N,0,5,1,0,0,1,0.372368573381522,0.470341182830782,0.15699050280128,0.0671620425828774,0.932837957417123,0.74961101831686,2.5,45412.8775933608,25370.4973208517,1986.75,0.511736450433666,288974.5,30.35,0.844204855370949,0.812857251325631,0.573250370010066,433.3412,0.132388099809353,190.268604181508
2013,FL1370655,"TALLAHASSEE, CITY OF",Region 4,Community water system,193927,N,0,2,1,0,0,0,0.377800969988273,0.465261389048723,0.156837727300865,0.0749671778701496,0.92503282212985,0.733554588939114,2.44,46254.5170850538,26135.1246082122,1986.25,0.524782192041262,283579.5,30.05,0.841304590760892,0.809346950518778,0.575709978364779,425.251,0.118484899392218,188.622061943266
2014,FL1370655,"TALLAHASSEE, CITY OF",Region 4,Community water system,193927,N,0,2,1,0,0,0,0.375084771684897,0.467801285939752,0.156914115051072,0.0710646102265135,0.928935389773487,0.741582803627987,2.47,45833.6973392073,25752.8109645319,1986.5,0.518259321237464,286277,30.2,0.84275472306592,0.811102100922205,0.574480174187422,429.2961,0.125436499600785,189.445333062387
2015,FL1370655,"TALLAHASSEE, CITY OF",Region 4,Community water system,193927,N,0,2,1,0,0,0,0.372368573381522,0.470341182830782,0.15699050280128,0.0671620425828774,0.932837957417123,0.74961101831686,2.5,45412.8775933608,25370.4973208517,1986.75,0.511736450433666,288974.5,30.35,0.844204855370949,0.812857251325631,0.573250370010066,433.3412,0.132388099809353,190.268604181508
2013,FL1460182,"CRESTVIEW, CITY OF WATER DEPT.",Region 4,Community water system,32309,N,0,2,1,0,0,0,0.505199290947018,0.281081604211341,0.21371910484164,0.0890578750717635,0.910942124928237,0.643722392707403,2.535,55053.0945330356,28618.2167406822,1987.5,0.644007483053262,193065,36.5,0.813312031356925,0.77739336521026,0.675024958767686,207.5416,0.083083048882768,101.179027879901
2013,FL1460035,AUBURN WATER SYSTEM,Region 4,Community water system,22015,N,0,5,1,0,0,1,0.505199290947018,0.281081604211341,0.21371910484164,0.0890578750717635,0.910942124928237,0.643722392707403,2.535,55053.0945330356,28618.2167406822,1987.5,0.644007483053262,193065,36.5,0.813312031356925,0.77739336521026,0.675024958767686,207.5416,0.083083048882768,101.179027879901
2014,FL1460035,AUBURN WATER SYSTEM,Region 4,Community water system,22015,N,0,5,1,0,0,1,0.497910764338322,0.286898443300209,0.215190792361469,0.088234275165476,0.911765724834524,0.647056913848268,2.57,54271.9937768038,28119.9138392314,1988,0.641785925308207,197146,35.9,0.812216493819129,0.777588660742665,0.675029810013042,211.9286,0.0855909366590522,101.793380757457
2015,FL1460035,AUBURN WATER SYSTEM,Region 4,Community water system,22015,N,0,5,1,0,0,1,0.490622237729626,0.292715282389076,0.216662479881298,0.0874106752591886,0.912589324740812,0.650391434989133,2.605,53490.893020572,27621.6109377805,1988.5,0.639564367563152,201227,35.3,0.811120956281333,0.777783956275069,0.675034661258399,216.3156,0.0880988244353365,102.407733635013
2013,FL1460144,"FORT WALTON BEACH, CITY OF",Region 4,Community water system,24113,N,0,2,1,0,0,0,0.505199290947018,0.281081604211341,0.21371910484164,0.0890578750717635,0.910942124928237,0.643722392707403,2.535,55053.0945330356,28618.2167406822,1987.5,0.644007483053262,193065,36.5,0.813312031356925,0.77739336521026,0.675024958767686,207.5416,0.083083048882768,101.179027879901
2014,FL1460144,"FORT WALTON BEACH, CITY OF",Region 4,Community water system,24113,N,0,2,1,0,0,0,0.497910764338322,0.286898443300209,0.215190792361469,0.088234275165476,0.911765724834524,0.647056913848268,2.57,54271.9937768038,28119.9138392314,1988,0.641785925308207,197146,35.9,0.812216493819129,0.777588660742665,0.675029810013042,211.9286,0.0855909366590522,101.793380757457
2015,FL1460144,"FORT WALTON BEACH, CITY OF",Region 4,Community water system,24113,N,0,2,1,0,0,0,0.490622237729626,0.292715282389076,0.216662479881298,0.0874106752591886,0.912589324740812,0.650391434989133,2.605,53490.893020572,27621.6109377805,1988.5,0.639564367563152,201227,35.3,0.811120956281333,0.777783956275069,0.675034661258399,216.3156,0.0880988244353365,102.407733635013
2013,FL1460147,"NICEVILLE, CITY OF",Region 4,Community water system,19320,N,0,2,1,0,0,0,0.505199290947018,0.281081604211341,0.21371910484164,0.0890578750717635,0.910942124928237,0.643722392707403,2.535,55053.0945330356,28618.2167406822,1987.5,0.644007483053262,193065,36.5,0.813312031356925,0.77739336521026,0.675024958767686,207.5416,0.083083048882768,101.179027879901
2014,FL1460147,"NICEVILLE, CITY OF",Region 4,Community water system,19320,N,0,2,1,0,0,0,0.497910764338322,0.286898443300209,0.215190792361469,0.088234275165476,0.911765724834524,0.647056913848268,2.57,54271.9937768038,28119.9138392314,1988,0.641785925308207,197146,35.9,0.812216493819129,0.777588660742665,0.675029810013042,211.9286,0.0855909366590522,101.793380757457
2015,FL1460147,"NICEVILLE, CITY OF",Region 4,Community water system,19320,N,0,2,1,0,0,0,0.490622237729626,0.292715282389076,0.216662479881298,0.0874106752591886,0.912589324740812,0.650391434989133,2.605,53490.893020572,27621.6109377805,1988.5,0.639564367563152,201227,35.3,0.811120956281333,0.777783956275069,0.675034661258399,216.3156,0.0880988244353365,102.407733635013
2013,FL1460202,"DESTIN WATER USERS, INC.",Region 4,Community water system,28802,N,0,4,1,0,0,1,0.505199290947018,0.281081604211341,0.21371910484164,0.0890578750717635,0.910942124928237,0.643722392707403,2.535,55053.0945330356,28618.2167406822,1987.5,0.644007483053262,193065,36.5,0.813312031356925,0.77739336521026,0.675024958767686,207.5416,0.083083048882768,101.179027879901
2014,FL1460202,"DESTIN WATER USERS, INC.",Region 4,Community water system,28802,N,0,4,1,0,0,1,0.497910764338322,0.286898443300209,0.215190792361469,0.088234275165476,0.911765724834524,0.647056913848268,2.57,54271.9937768038,28119.9138392314,1988,0.641785925308207,197146,35.9,0.812216493819129,0.777588660742665,0.675029810013042,211.9286,0.0855909366590522,101.793380757457
