pwsid,pwsname,size,facilitywatertype,collectiondate,sampleid,contaminant,mrl,methodid,analyticalresultssign,analyticalresultvalue,sampleeventcode,monitoringrequirement,region,state
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240846,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240844,strontium,0.3,EPA 200.8,=,24,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186121,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,PFOA,0.02,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,vanadium,0.2,EPA 200.8,=,1.20,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250268AM,strontium,0.3,EPA 200.8,=,58,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130213AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,strontium,0.3,EPA 200.8,=,140,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,vanadium,0.2,EPA 200.8,=,3.60,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,vanadium,0.2,EPA 200.8,=,4.10,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130339AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130213AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,molybdenum,1.0,EPA 200.8,=,1.10,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250045AM,strontium,0.3,EPA 200.8,=,150,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130339AM,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130339AM,PFOA,0.02,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130213AM,vanadium,0.2,EPA 200.8,=,3.50,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130205AM,PFOA,0.02,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,vanadium,0.2,EPA 200.8,=,3.20,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,strontium,0.3,EPA 200.8,=,59,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200277AM,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240489AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200295AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200295AM,vanadium,0.2,EPA 200.8,=,1.20,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200305AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200305AM,strontium,0.3,EPA 200.8,=,60,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200307AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200307AM,strontium,0.3,EPA 200.8,=,51,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200307AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200307AM,vanadium,0.2,EPA 200.8,=,2.10,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250134AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250145AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250134AM,vanadium,0.2,EPA 200.8,=,3.20,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250145AM,strontium,0.3,EPA 200.8,=,63,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250145AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240489AM,strontium,0.3,EPA 200.8,=,59,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200305AM,vanadium,0.2,EPA 200.8,=,1.60,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250134AM,strontium,0.3,EPA 200.8,=,67,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250134AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250145AM,vanadium,0.2,EPA 200.8,=,1.50,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110310AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200305AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110305AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110303AM,vanadium,0.2,EPA 200.8,=,0.75,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110303AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110303AM,strontium,0.3,EPA 200.8,=,42,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110305AM,strontium,0.3,EPA 200.8,=,44,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110303AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130213AM,strontium,0.3,EPA 200.8,=,140,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130297AM,vanadium,0.2,EPA 200.8,=,3.10,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130297AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130297AM,strontium,0.3,EPA 200.8,=,59,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130297AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110310AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200295AM,strontium,0.3,EPA 200.8,=,63,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240489AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110305AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110451AM,strontium,0.3,EPA 200.8,=,200,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110310AM,vanadium,0.2,EPA 200.8,=,1.30,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240489AM,vanadium,0.2,EPA 200.8,=,1.20,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110310AM,strontium,0.3,EPA 200.8,=,74,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110451AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110305AM,vanadium,0.2,EPA 200.8,=,1.10,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110451AM,vanadium,0.2,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110451AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,strontium,0.3,EPA 200.8,=,70,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,vanadium,0.2,EPA 200.8,=,1.20,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,PFOA,0.02,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250226AM,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250226AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250226AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240368AM,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/24/2014,201403250226AM,vanadium,0.2,EPA 200.8,=,1.20,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,vanadium,0.2,EPA 200.8,=,2.40,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/18/2013,201309200295AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,vanadium,0.2,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,strontium,0.3,EPA 200.8,=,4.70,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/10/2014,201403110320AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240313AM,strontium,0.3,EPA 200.8,=,58,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,strontium,0.3,EPA 200.8,=,46,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130316AM,PFOA,0.02,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130316AM,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130339AM,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,3/12/2014,201403130339AM,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,4/1/2014,201404020469AM,strontium,0.3,EPA 200.8,=,57,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,4/1/2014,201404020469AM,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/24/2013,201309250061AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,4/1/2014,201404020469AM,vanadium,0.2,EPA 200.8,=,3,SE2,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240264AM,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240264AM,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1370393,Bradfordville Regional Water System,L,GW,9/23/2013,201309240264AM,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
